name,dept,area,count,adjustedcount,year
Jianwei Yin,Zhejiang University,icde,2.0,0.36667,2022
Jianwei Yin,Zhejiang University,icde,1.0,0.2,2023
Jianwei Yin,Zhejiang University,icde,1.0,0.16667,2024
Jianwei Yin,Zhejiang University,icde,4.0,0.55952,2025
Jianwei Yin,Zhejiang University,iclr,3.0,0.36667,2025
Jianwei Yin,Zhejiang University,ijcai,1.0,0.125,2020
Jianwei Yin,Zhejiang University,ijcai,1.0,0.14286,2023
Jianwei Yin,Zhejiang University,ijcai,1.0,0.125,2024
Jianwei Yin,Zhejiang University,ijcai,3.0,0.5671,2025
Jianwei Yin,Zhejiang University,isca,2.0,0.23611,2025
Jianwei Yin,Zhejiang University,issta,1.0,0.16667,2023
Jianwei Yin,Zhejiang University,micro,1.0,0.083333,2023
Jianwei Yin,Zhejiang University,nips,2.0,0.21111,2024
Jianwei Yin,Zhejiang University,sigir,2.0,0.4,2025
Jianwei Yin,Zhejiang University,sigmod,1.0,0.2,2023
Jianwei Yin,Zhejiang University,sigmod,1.0,0.1,2025
Jianwei Yin,Zhejiang University,usenixsec,1.0,0.14286,2023
Jianwei Yin,Zhejiang University,vis,1.0,0.11111,2024
Jianwei Yin,Zhejiang University,vldb,1.0,0.16667,2021
Jianwei Yin,Zhejiang University,vldb,1.0,0.16667,2024
Jianwei Yin,Zhejiang University,vldb,1.0,0.2,2025
Jianwei Yin,Zhejiang University,wine,2.0,0.5,2023
Jianwei Yin,Zhejiang University,www,2.0,0.31111,2025
Jin Huang 0001,Zhejiang University,eurographics,2.0,0.5,2012
Jin Huang 0001,Zhejiang University,eurographics,1.0,0.33333,2014
Jin Huang 0001,Zhejiang University,eurographics,3.0,0.65,2015
Jin Huang 0001,Zhejiang University,eurographics,2.0,0.4,2016
Jin Huang 0001,Zhejiang University,eurographics,1.0,0.16667,2017
Jin Huang 0001,Zhejiang University,eurographics,1.0,0.2,2020
Jin Huang 0001,Zhejiang University,eurographics,3.0,0.56667,2022
Jin Huang 0001,Zhejiang University,icde,1.0,0.16667,2022
Jin Huang 0001,Zhejiang University,iclr,1.0,0.1,2025
Jin Huang 0001,Zhejiang University,kdd,1.0,0.11111,2023
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.14286,2005
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.11111,2006
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.25,2010
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.16667,2014
Jin Huang 0001,Zhejiang University,siggraph,2.0,0.36667,2015
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.25,2016
Jin Huang 0001,Zhejiang University,siggraph,2.0,0.4,2018
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.25,2021
Jin Huang 0001,Zhejiang University,siggraph,1.0,0.25,2022
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.16667,2008
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.25,2011
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.2,2013
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.33333,2015
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.16667,2019
Jin Huang 0001,Zhejiang University,siggraph-asia,1.0,0.25,2024
Jinfei Liu,Zhejiang University,ccs,2.0,0.325,2024
Jinfei Liu,Zhejiang University,icde,1.0,0.25,2017
Jinfei Liu,Zhejiang University,icde,1.0,0.2,2018
Jinfei Liu,Zhejiang University,icde,1.0,0.2,2021
Jinfei Liu,Zhejiang University,icde,2.0,0.24286,2023
Jinfei Liu,Zhejiang University,icde,3.0,0.56667,2024
Jinfei Liu,Zhejiang University,icde,3.0,0.53333,2025
Jinfei Liu,Zhejiang University,kdd,1.0,0.125,2023
Jinfei Liu,Zhejiang University,nips,1.0,0.14286,2023
Jinfei Liu,Zhejiang University,nips,1.0,0.33333,2024
Jinfei Liu,Zhejiang University,sigmod,1.0,0.16667,2023
Jinfei Liu,Zhejiang University,sigmod,1.0,0.16667,2024
Jinfei Liu,Zhejiang University,sigmod,3.0,0.56111,2025
Jinfei Liu,Zhejiang University,vldb,1.0,0.2,2015
Jinfei Liu,Zhejiang University,vldb,2.0,0.36667,2021
Jinfei Liu,Zhejiang University,vldb,1.0,0.14286,2023
Jinfei Liu,Zhejiang University,vldb,1.0,0.16667,2024
Jinfei Liu,Zhejiang University,www,1.0,0.125,2023
Jinsong Han,Zhejiang University,ccs,1.0,0.14286,2016
Jinsong Han,Zhejiang University,cvpr,1.0,0.16667,2024
Jinsong Han,Zhejiang University,cvpr,1.0,0.16667,2025
Jinsong Han,Zhejiang University,iccv,1.0,0.2,2019
Jinsong Han,Zhejiang University,mobicom,1.0,0.14286,2018
Jinsong Han,Zhejiang University,mobicom,1.0,0.14286,2020
Jinsong Han,Zhejiang University,mobicom,1.0,0.11111,2022
Jinsong Han,Zhejiang University,mobicom,3.0,0.53333,2023
Jinsong Han,Zhejiang University,mobisys,2.0,0.34286,2024
Jinsong Han,Zhejiang University,ndss,1.0,0.1,2022
Jinsong Han,Zhejiang University,ndss,1.0,0.2,2025
Jinsong Han,Zhejiang University,nsdi,1.0,0.125,2023
Jinsong Han,Zhejiang University,sensys,2.0,0.29167,2015
Jinsong Han,Zhejiang University,sensys,2.0,0.375,2021
Jinsong Han,Zhejiang University,sensys,1.0,0.14286,2022
Jinsong Han,Zhejiang University,sensys,1.0,0.16667,2024
Jinsong Han,Zhejiang University,ubicomp,2.0,0.28571,2016
Jinsong Han,Zhejiang University,ubicomp,1.0,0.14286,2018
Jinsong Han,Zhejiang University,ubicomp,2.0,0.53333,2024
Jinsong Han,Zhejiang University,ubicomp,2.0,0.29167,2025
Jinsong Han,Zhejiang University,usenixsec,1.0,0.14286,2025
Jinsong Han,Zhejiang University,vldb,1.0,0.14286,2015
Joan Feigenbaum,Yale University,cav,1.0,0.33333,1991
Joan Feigenbaum,Yale University,ccs,1.0,0.25,2014
Joan Feigenbaum,Yale University,crypto,1.0,1.0,1985
Joan Feigenbaum,Yale University,crypto,1.0,0.2,1988
Joan Feigenbaum,Yale University,crypto,2.0,0.58333,1990
Joan Feigenbaum,Yale University,ec,1.0,0.25,2003
Joan Feigenbaum,Yale University,ec,1.0,0.33333,2006
Joan Feigenbaum,Yale University,ec,1.0,0.33333,2010
